Geo_NAME	Geo_QName	Geo_AREALAND	Geo_AREAWATR	Geo_SUMLEV	Geo_GEOCOMP	SE_T001_001
"ZCTA5 85646       "	"ZCTA5 85646, Arizona"	"333208547"	"146986"	"871"	"00"	1311
"ZCTA5 85648       "	"ZCTA5 85648, Arizona"	"407098070"	"705392"	"871"	"00"	19080
"ZCTA5 85650       "	"ZCTA5 85650, Arizona"	"108059037"	"53639"	"871"	"00"	15279
"ZCTA5 85653       "	"ZCTA5 85653, Arizona"	"904646226"	"1709278"	"871"	"00"	15083
"ZCTA5 85654       "	"ZCTA5 85654, Arizona"	"159313"	"0"	"871"	"00"	97
"ZCTA5 85658       "	"ZCTA5 85658, Arizona"	"579814266"	"10742"	"871"	"00"	7790
"ZCTA5 85701       "	"ZCTA5 85701, Arizona"	"3755047"	"0"	"871"	"00"	4983
"ZCTA5 85704       "	"ZCTA5 85704, Arizona"	"46292988"	"126003"	"871"	"00"	30929
"ZCTA5 85705       "	"ZCTA5 85705, Arizona"	"35208429"	"267672"	"871"	"00"	57521
"ZCTA5 85706       "	"ZCTA5 85706, Arizona"	"32447024"	"0"	"871"	"00"	55209
"ZCTA5 85707       "	"ZCTA5 85707, Arizona"	"11745387"	"0"	"871"	"00"	658
"ZCTA5 85708       "	"ZCTA5 85708, Arizona"	"3723393"	"0"	"871"	"00"	2980
"ZCTA5 85710       "	"ZCTA5 85710, Arizona"	"31278396"	"0"	"871"	"00"	54439
"ZCTA5 85711       "	"ZCTA5 85711, Arizona"	"22147923"	"0"	"871"	"00"	41251
"ZCTA5 85712       "	"ZCTA5 85712, Arizona"	"17601918"	"137422"	"871"	"00"	32666
"ZCTA5 85713       "	"ZCTA5 85713, Arizona"	"61366662"	"39286"	"871"	"00"	50151
"ZCTA5 85714       "	"ZCTA5 85714, Arizona"	"17045533"	"0"	"871"	"00"	15009
"ZCTA5 85715       "	"ZCTA5 85715, Arizona"	"17261267"	"85858"	"871"	"00"	17702
"ZCTA5 85716       "	"ZCTA5 85716, Arizona"	"18265337"	"0"	"871"	"00"	32853
"ZCTA5 85718       "	"ZCTA5 85718, Arizona"	"98680091"	"0"	"871"	"00"	27367
"ZCTA5 85719       "	"ZCTA5 85719, Arizona"	"21201347"	"0"	"871"	"00"	43989
"ZCTA5 85723       "	"ZCTA5 85723, Arizona"	"332731"	"0"	"871"	"00"	0
"ZCTA5 85724       "	"ZCTA5 85724, Arizona"	"103874"	"0"	"871"	"00"	0
